oa_code,All families in households,No dependent children in family,One dependent child in family aged 0 to 4,One dependent child in family aged 5 to 11,One dependent child in family aged 12 to 18,Two dependent children in family: Youngest aged 0 to 4,Two dependent children in family: Youngest aged 5 to 11 ,Two dependent children in family: Youngest aged 12 to 18 ,Three or more dependent children in family: Youngest aged 0 to 4 ,Three or more dependent children in family: Youngest aged 5 to 11,Three or more dependent children in family: Youngest aged 12 to 18,All dependent children in households
S00123729,19,18,-,-,-,-,1,-,-,-,-,2
S00123730,32,16,-,6,4,-,-,2,2,2,-,27
S00123731,27,17,3,1,1,1,2,-,2,-,-,17
S00123732,48,22,3,2,7,7,6,1,-,-,-,40
S00123733,44,17,8,8,2,2,3,1,1,2,-,43
S00123734,52,28,2,3,4,-,5,1,7,2,-,52
S00123735,40,25,4,3,1,-,4,-,1,1,1,25
S00123736,37,25,1,-,4,1,3,1,1,-,1,21
S00123737,40,27,3,2,3,-,2,-,1,2,-,24
S00123738,39,27,-,2,2,1,4,1,1,1,-,22
S00123739,22,15,-,1,2,-,1,1,1,-,1,14
S00123740,45,28,3,-,3,4,3,3,1,-,-,29
S00123741,48,30,2,2,4,3,2,2,1,2,-,31
S00123742,46,30,-,1,1,1,5,5,2,1,-,34
S00123743,33,23,2,2,4,2,-,-,-,-,-,12
S00123744,39,33,1,1,-,-,-,1,2,1,-,13
S00123745,32,22,1,2,2,2,-,1,1,1,-,18
S00123746,36,18,-,2,4,4,2,3,1,2,-,33
S00123747,42,31,1,-,5,3,1,1,-,-,-,16
S00123748,40,22,2,-,3,3,3,5,1,1,-,33
S00123749,30,24,2,1,2,-,1,-,-,-,-,7
S00123750,21,15,2,-,2,1,-,1,-,-,-,8
S00123751,19,12,5,-,-,1,1,-,-,-,-,9
S00123752,18,11,1,2,-,2,1,-,1,-,-,12
S00123753,19,12,2,-,1,1,1,1,-,1,-,12
S00123754,31,12,10,4,1,2,-,-,1,1,-,25
S00123755,27,9,4,4,5,1,1,-,1,2,-,27
S00123756,31,11,4,2,4,8,2,-,-,-,-,30
S00123757,38,23,4,3,3,2,-,2,-,1,-,21
S00123758,40,14,7,7,2,5,3,-,2,-,-,40
S00123759,58,18,7,2,3,11,9,4,2,-,2,75
S00123760,20,7,1,7,-,3,1,-,1,-,-,19
S00123761,49,20,8,3,6,4,2,1,2,3,-,46
S00123762,53,21,13,3,4,8,3,-,-,1,-,47
S00123763,29,20,1,2,3,2,-,-,1,-,-,14
S00123764,18,14,1,1,2,-,-,-,-,-,-,4
S00123765,22,9,1,3,5,2,-,1,1,-,-,18
S00123766,7,6,1,-,-,-,-,-,-,-,-,1
S00123767,40,23,2,1,3,4,-,3,2,1,1,33
S00123768,44,24,4,1,3,4,4,1,3,-,-,37
S00123769,28,22,1,2,-,2,1,-,-,-,-,9
S00123770,51,33,1,3,3,-,4,6,-,1,-,30
S00123771,31,20,2,3,2,1,-,-,1,2,-,18
S00123772,39,13,2,4,3,10,2,-,4,-,1,49
S00123773,34,13,-,1,11,1,2,2,2,2,-,34
S00123774,46,25,4,5,4,4,3,1,-,-,-,30
S00123775,49,27,3,3,6,5,3,-,2,-,-,34
S00123776,40,25,3,-,3,3,5,-,1,-,-,26
S00123777,42,27,5,2,2,2,1,1,1,1,-,24
S00123778,43,28,2,4,3,4,-,-,2,-,-,25
S00123779,44,25,4,2,2,3,3,1,3,1,-,34
S00123780,17,13,-,1,2,-,-,-,-,1,-,6
S00123781,35,27,3,3,-,2,-,-,-,-,-,10
S00123782,19,13,-,-,3,-,1,1,-,1,-,10
S00123783,42,22,4,4,3,2,3,-,2,2,-,33
S00123784,18,9,-,1,4,1,2,-,1,-,-,15
S00123785,41,22,-,5,5,3,4,-,-,2,-,30
S00123786,32,14,-,2,4,5,4,1,1,1,-,34
S00123787,30,15,1,3,7,-,2,-,-,2,-,21
S00123788,30,14,6,2,4,1,1,1,1,-,-,21
S00123789,51,32,2,1,5,3,4,4,-,-,-,30
S00123790,56,29,5,5,5,2,3,2,4,-,1,44
S00123791,42,23,5,2,1,5,2,3,-,1,-,32
S00123792,26,16,2,2,2,1,1,-,1,1,-,18
S00123793,37,26,1,3,1,-,4,-,1,-,1,19
S00123794,34,17,5,3,3,-,4,-,1,1,-,26
S00123795,32,21,-,-,5,-,5,1,-,-,-,19
S00123796,23,17,1,1,3,1,-,-,-,-,-,7
S00123797,14,8,1,2,-,2,-,-,1,-,-,12
S00123798,14,5,1,5,1,-,1,-,1,-,-,12
S00123799,48,19,2,2,10,3,3,3,3,3,-,57
S00123800,48,24,2,2,5,1,6,1,2,5,-,48
S00123801,29,11,2,3,1,1,5,2,1,1,2,34
S00123802,38,13,1,10,4,3,2,-,2,2,1,41
S00123803,43,20,2,5,7,3,2,2,1,1,-,36
S00123804,46,22,2,1,12,2,5,2,-,-,-,33
S00123805,52,35,-,5,3,6,1,1,-,-,1,27
S00123806,51,34,3,-,4,1,5,1,3,-,-,30
S00123807,44,25,4,4,6,3,2,-,-,-,-,24
S00123808,45,28,1,3,3,1,4,3,1,1,-,29
S00123809,43,20,2,6,8,2,1,1,3,-,-,33
S00123810,20,10,3,1,3,2,-,1,-,-,-,13
S00123811,45,22,6,4,7,2,2,1,1,-,-,30
S00123812,44,23,2,-,6,3,1,1,3,4,1,42
S00123813,35,13,3,-,-,6,8,1,3,1,-,48
S00123814,19,14,1,1,2,-,1,-,-,-,-,6
S00123815,23,9,5,5,2,2,-,-,-,-,-,16
S00123816,21,9,3,3,3,3,-,-,-,-,-,15
S00123817,45,30,3,6,3,2,-,1,-,-,-,18
S00123818,32,18,2,2,3,2,2,2,-,1,-,22
S00123819,30,19,1,1,4,1,2,-,1,1,-,19
S00123820,11,7,2,-,-,1,1,-,-,-,-,6
S00123821,31,18,2,4,5,-,-,1,-,1,-,17
S00123822,57,36,1,1,8,1,7,-,-,3,-,35
S00123823,25,23,2,-,-,-,-,-,-,-,-,2
S00123824,45,23,3,-,5,3,3,5,2,1,-,39
S00123825,52,26,9,2,5,5,2,1,1,1,-,38
S00123826,29,16,1,3,2,1,4,-,-,2,-,22
S00123827,25,10,3,5,4,1,1,1,-,-,-,18
S00123828,20,11,1,1,3,-,-,3,1,-,-,14
S00123829,25,11,3,1,7,1,-,2,-,-,-,19
S00123830,34,23,1,1,3,2,2,2,-,-,-,17
S00123831,37,23,3,2,4,3,1,1,-,-,-,20
S00123832,29,17,4,1,2,2,-,1,1,1,-,20
S00123833,40,24,7,-,5,-,3,1,-,-,-,20
S00123834,25,15,1,1,3,1,3,1,-,-,-,15
S00123835,44,27,2,1,1,2,4,1,4,1,1,39
S00123836,15,9,2,3,1,-,-,-,-,-,-,6
S00123837,22,16,5,-,1,-,-,-,-,-,-,6
S00123838,14,5,2,2,3,2,-,-,-,-,-,11
S00123839,15,5,2,-,5,-,3,-,-,-,-,13
S00123840,18,8,5,2,2,1,-,-,-,-,-,11
S00123841,18,9,6,-,-,-,1,-,2,-,-,14
S00123842,41,22,3,3,4,2,2,1,2,2,-,34
S00123843,29,13,4,-,1,4,4,1,-,2,-,30
S00123844,36,26,1,-,3,2,1,1,-,2,-,19
S00123845,35,25,1,-,3,1,2,-,2,1,-,19
S00123846,29,22,1,2,-,1,2,1,-,-,-,11
S00123847,26,17,5,-,2,1,-,1,-,-,-,11
S00123848,38,26,1,6,1,-,3,-,-,1,-,17
S00123849,17,14,-,-,2,1,-,-,-,-,-,4
S00123850,15,7,4,1,1,-,-,1,-,1,-,11
S00123851,33,19,6,3,2,3,-,-,-,-,-,17
S00123852,43,26,2,3,6,1,1,3,-,1,-,24
S00123853,28,19,1,1,2,3,1,-,1,-,-,15
S00123854,18,14,-,1,2,-,1,-,-,-,-,5
S00123855,32,19,3,-,-,2,2,1,2,3,-,29
S00123856,44,27,-,3,6,-,4,1,2,-,1,28
S00123857,28,18,2,1,1,3,1,-,1,1,-,18
S00123858,19,15,2,-,-,2,-,-,-,-,-,6
S00123859,13,7,2,1,1,-,2,-,-,-,-,8
S00123860,32,17,-,1,3,2,2,4,1,2,-,29
S00123861,53,30,1,2,6,4,5,3,2,-,-,41
S00123862,40,24,3,2,1,2,2,3,2,1,-,30
S00123863,40,24,3,4,5,1,2,1,-,-,-,20
S00123864,40,24,2,1,4,3,2,-,4,-,-,29
S00123865,30,16,3,3,3,2,1,1,1,-,-,20
S00123866,55,37,-,2,6,2,4,3,1,-,-,29
S00123867,25,12,1,2,1,2,3,-,1,2,1,27
S00123868,30,14,2,-,7,2,1,3,-,1,-,24
S00123869,27,21,2,-,-,2,-,-,1,1,-,13
S00123870,30,5,3,5,1,3,2,-,8,2,1,55
S00123871,30,3,8,6,3,4,3,-,2,1,-,42
S00123872,35,9,4,5,3,6,2,-,5,1,-,48
S00123873,48,15,2,8,4,12,3,1,2,1,-,55
S00123874,24,6,2,4,1,3,5,2,1,-,-,30
S00123875,48,25,6,5,3,2,6,-,1,-,-,33
S00123876,42,34,2,1,1,-,2,1,1,-,-,16
S00123877,27,10,5,3,4,1,2,1,1,-,-,23
S00123878,16,11,1,-,2,-,-,-,1,-,1,9
S00123879,43,29,2,3,4,1,1,3,-,-,-,19
S00123880,19,9,3,5,1,1,-,-,-,-,-,11
S00123881,41,18,7,2,4,2,6,-,2,-,-,36
S00123882,40,22,1,3,7,1,3,-,1,1,1,28
S00123883,30,10,4,2,2,4,2,3,3,-,-,38
S00123884,19,6,2,2,3,2,2,1,-,1,-,20
S00123885,63,39,4,1,4,4,9,-,1,1,-,41
S00123886,30,15,5,2,5,-,-,1,2,-,-,21
S00123887,33,13,4,6,1,7,2,-,-,-,-,29
S00123888,34,14,2,1,5,5,2,1,2,2,-,40
S00123889,25,10,2,3,5,3,2,-,-,-,-,20
S00123890,15,6,4,2,2,1,-,-,-,-,-,10
S00123891,24,13,1,3,3,1,-,1,2,-,-,17
S00123892,51,33,2,1,8,1,2,2,2,-,-,28
S00123893,53,28,7,8,2,2,2,2,2,-,-,37
S00123894,47,32,2,2,4,2,3,-,2,-,-,24
S00123895,38,26,3,1,5,1,1,1,-,-,-,15
S00123896,24,17,-,-,2,1,4,-,-,-,-,12
S00123897,36,23,3,2,5,2,1,-,-,-,-,16
S00123898,29,21,-,1,2,3,2,-,-,-,-,13
S00123899,43,24,4,1,1,5,4,2,-,2,-,34
S00123900,28,19,-,-,3,1,3,-,-,2,-,19
S00123901,25,9,4,3,1,4,1,1,1,1,-,27
S00123902,9,5,1,2,-,-,-,-,-,1,-,6
S00123903,16,14,-,-,1,-,-,1,-,-,-,3
S00123904,10,6,1,1,1,-,1,-,-,-,-,5
S00123905,24,12,4,-,2,4,1,1,-,-,-,19
S00123906,13,10,1,1,1,-,-,-,-,-,-,3
S00123907,17,15,1,-,1,-,-,-,-,-,-,2
S00123908,26,13,2,-,3,4,4,-,-,-,-,21
S00123909,39,23,4,2,3,2,1,1,3,-,-,27
S00123910,22,13,3,-,1,-,4,-,1,-,-,18
S00123911,30,21,2,1,2,1,2,1,-,-,-,13
S00123912,28,16,2,3,2,2,1,-,1,1,-,19
S00123913,26,13,2,3,4,3,1,-,-,-,-,19
S00123914,38,16,2,4,8,5,2,-,1,-,-,33
S00123915,37,25,1,1,5,-,3,-,2,-,-,20
S00123916,17,15,-,1,-,-,1,-,-,-,-,3
S00123917,26,16,2,1,3,1,-,1,2,-,-,18
S00123918,21,13,1,2,1,1,1,-,-,2,-,15
S00123919,30,16,2,1,5,3,1,1,-,1,-,23
S00123920,28,19,1,5,1,-,2,-,-,-,-,11
S00123921,13,11,1,-,-,1,-,-,-,-,-,3
S00123922,12,10,-,-,1,-,-,1,-,-,-,3
S00123923,4,4,-,-,-,-,-,-,-,-,-,-
S00123924,34,26,3,1,2,1,-,1,-,-,-,10
S00123925,18,15,2,-,1,-,-,-,-,-,-,3
S00123926,52,26,3,6,7,2,2,-,4,2,-,43
S00123927,37,11,3,4,2,2,9,1,4,-,1,49
S00123928,24,8,3,1,1,3,4,2,-,1,1,29
S00123929,51,17,8,7,3,5,6,3,1,-,1,53
S00123930,42,24,4,2,4,5,2,-,1,-,-,28
S00123931,49,21,3,6,4,7,3,-,1,3,1,49
S00123932,37,23,1,2,8,-,-,-,2,1,-,21
S00123933,18,6,1,3,2,2,-,-,2,2,-,24
S00123934,41,24,3,3,4,2,-,3,1,1,-,26
S00123935,26,17,2,-,1,3,2,1,-,-,-,15
S00123936,32,19,2,1,4,3,-,1,2,-,-,21
S00123937,40,26,1,4,3,2,2,-,1,1,-,22
S00123938,33,18,4,2,5,2,1,-,1,-,-,20
S00123939,55,31,5,3,3,4,3,1,5,-,-,44
S00123940,41,31,3,2,-,1,2,-,-,1,1,17
S00123941,57,33,6,4,5,-,3,1,4,1,-,39
S00123942,45,25,3,3,5,2,2,1,2,2,-,36
S00123943,23,15,1,-,2,1,1,-,2,-,1,16
S00123944,31,17,5,2,2,2,2,1,-,-,-,19
S00123945,32,18,3,2,4,2,-,1,-,2,-,23
S00123946,39,25,4,3,3,1,1,-,1,1,-,20
S00123947,49,28,5,3,5,1,3,2,1,1,-,31
S00123948,49,21,1,1,7,1,11,2,1,2,2,53
S00123949,49,13,6,7,9,4,3,7,-,-,-,51
S00123950,29,6,3,4,4,4,6,1,1,-,-,37
S00123951,31,21,1,2,2,-,5,-,-,-,-,15
S00123952,32,20,-,4,4,2,1,-,1,-,-,17
S00123953,41,28,4,2,-,2,3,1,-,-,1,21
S00123954,43,14,5,6,3,4,6,2,3,-,-,48
S00123955,38,24,2,1,4,1,4,1,1,-,-,22
S00123956,21,7,2,2,1,4,3,1,1,-,-,24
S00123957,33,21,4,2,1,2,2,-,-,1,-,18
S00123958,38,14,5,5,6,4,1,1,2,-,-,36
S00123959,43,33,-,4,3,-,1,-,1,1,-,15
S00123960,57,38,5,5,4,2,1,2,-,-,-,24
S00123961,44,20,3,4,4,2,5,-,4,2,-,43
S00123962,38,18,4,4,3,2,2,1,1,3,-,37
S00123963,36,23,2,2,4,4,1,-,-,-,-,18
S00123964,36,12,1,5,3,4,5,2,1,3,-,44
S00123965,25,12,3,3,3,2,2,-,-,-,-,17
S00123966,26,11,2,2,2,1,2,2,1,2,1,29
S00123967,26,18,1,1,2,-,2,1,-,-,1,14
S00123968,32,16,1,1,2,2,2,2,-,6,-,34
S00123969,32,15,1,3,1,4,4,1,1,2,-,32
S00123970,47,35,4,1,3,1,1,-,2,-,-,18
S00123971,47,28,8,4,3,1,1,-,1,1,-,25
S00123972,22,13,2,-,1,3,2,1,-,-,-,16
S00123973,49,26,5,5,3,3,3,-,1,3,-,38
S00123974,33,21,1,2,2,-,3,-,3,-,1,23
S00123975,33,18,3,2,5,4,1,-,-,-,-,20
S00123976,26,10,2,3,1,2,5,1,1,1,-,29
S00123977,31,11,3,4,4,3,4,2,-,-,-,29
S00123978,45,20,5,4,4,1,3,2,4,2,-,46
S00123979,44,23,1,3,2,4,6,2,2,1,-,40
S00123980,36,25,1,2,3,2,3,-,-,-,-,16
S00123981,35,19,1,2,3,1,3,1,5,-,-,33
S00123982,31,16,-,1,4,2,3,1,2,1,1,33
S00123983,50,25,3,7,5,1,2,3,2,2,-,40
S00123984,46,26,3,2,4,6,3,-,-,2,-,33
S00123985,60,39,5,4,5,1,3,1,2,-,-,30
S00123986,39,22,1,-,5,2,4,-,3,2,-,34
S00123987,51,28,2,2,5,2,4,3,2,3,-,43
S00123988,32,18,3,3,4,1,3,-,-,-,-,18
S00123989,40,19,1,2,2,2,5,1,3,4,1,48
S00123990,31,15,4,1,3,-,1,2,-,5,-,29
S00123991,37,20,1,1,4,1,6,1,2,1,-,32
S00123992,34,21,-,1,5,-,4,-,2,1,-,25
S00123993,15,9,1,4,-,1,-,-,-,-,-,7
S00123994,13,5,1,1,1,2,3,-,-,-,-,13
S00123995,35,19,-,1,4,1,5,3,2,-,-,31
S00123996,14,5,1,2,-,1,2,2,-,1,-,16
S00123997,14,8,1,1,2,1,1,-,-,-,-,8
S00123998,40,14,7,3,4,4,4,1,2,1,-,42
S00123999,41,28,4,1,1,1,3,2,1,-,-,21
S00124000,39,22,1,1,6,2,2,4,1,-,-,27
S00124001,35,17,7,-,3,4,2,1,1,-,-,27
S00124002,37,20,2,2,5,2,2,2,2,-,-,28
S00124003,27,18,1,2,2,1,2,1,-,-,-,13
S00124004,47,26,5,4,4,-,6,-,2,-,-,32
S00124005,66,33,5,3,10,6,1,5,1,1,1,51
S00124006,28,16,5,1,3,1,2,-,-,-,-,15
S00124007,25,17,1,1,5,1,-,-,-,-,-,9
S00124008,14,8,2,1,1,1,-,-,-,1,-,11
S00124009,22,11,1,2,1,2,2,1,2,-,-,21
S00124010,39,26,2,2,1,1,4,-,-,3,-,24
S00124011,24,15,1,3,2,1,1,-,-,1,-,14
S00124012,31,16,1,4,3,4,1,-,2,-,-,25
S00124013,29,18,3,-,3,2,-,3,-,-,-,16
S00124014,25,10,2,3,1,2,-,1,6,-,-,32
S00124015,29,14,2,7,1,3,-,1,1,-,-,21
S00124016,46,31,4,5,1,2,2,-,1,-,-,21
S00124017,36,17,1,3,2,2,5,1,4,1,-,38
S00124018,42,26,2,2,7,2,2,-,1,-,-,22
S00124019,34,17,1,3,2,5,3,1,2,-,-,30
S00124020,57,29,7,4,3,2,7,1,4,-,-,47
S00124021,33,19,-,-,-,4,5,1,1,2,1,34
S00124022,39,21,3,2,2,5,2,2,-,2,-,31
S00124023,35,25,2,2,-,2,3,-,-,1,-,17
S00124024,45,29,1,1,6,4,2,-,1,1,-,28
S00124025,36,22,2,-,5,-,4,1,-,2,-,23
S00124026,35,28,-,2,3,-,2,-,-,-,-,9
S00124027,46,25,3,1,4,-,7,2,3,1,-,38
S00124028,49,26,4,5,3,1,5,-,1,4,-,40
S00124029,27,14,3,1,1,6,1,-,1,-,-,22
S00124030,21,12,3,-,1,3,2,-,-,-,-,14
S00124031,24,12,3,2,3,1,1,-,1,1,-,19
S00124032,17,3,2,4,3,3,1,1,-,-,-,19
S00124033,18,12,-,1,1,3,-,1,-,-,-,10
S00124034,9,8,-,-,-,1,-,-,-,-,-,2
S00124035,29,15,2,3,3,1,3,1,-,1,-,23
S00124036,34,23,2,1,6,-,1,-,1,-,-,14
S00124037,36,27,6,1,-,-,-,1,1,-,-,12
S00124038,19,13,-,2,1,2,1,-,-,-,-,9
S00124039,24,9,2,7,1,-,4,1,-,-,-,20
S00124040,24,12,1,2,2,1,3,-,2,1,-,22
S00124041,22,8,7,1,3,1,-,1,1,-,-,18
S00124042,18,10,3,2,2,-,-,-,-,1,-,10
S00124043,16,14,-,-,1,-,-,1,-,-,-,3
S00124044,42,24,4,6,4,-,2,1,1,-,-,23
S00124045,29,22,1,1,2,-,1,1,1,-,-,11
S00124046,28,21,1,-,-,-,3,2,1,-,-,14
S00124047,25,19,-,-,4,1,1,-,-,-,-,8
S00124048,36,25,4,2,1,2,-,-,1,1,-,18
S00124049,18,12,-,1,3,-,1,1,-,-,-,8
S00124050,35,24,1,3,1,1,3,-,2,-,-,21
S00124051,29,13,-,1,4,4,2,1,2,2,-,33
S00124052,36,15,-,3,8,2,2,1,2,3,-,36
S00124053,31,21,-,-,3,2,2,1,2,-,-,19
S00124054,27,16,3,2,4,1,1,-,-,-,-,13
S00124055,30,19,2,2,2,1,4,-,-,-,-,16
S00124056,24,14,3,-,2,2,-,2,1,-,-,16
S00124057,26,13,6,2,1,2,-,-,1,1,-,19
S00124058,26,24,-,1,-,1,-,-,-,-,-,3
S00124059,34,20,3,3,3,2,1,-,-,2,-,21
S00124060,36,25,4,1,3,1,2,-,-,-,-,14
S00124061,32,25,-,1,2,-,1,1,2,-,-,13
S00124062,19,9,2,2,1,-,1,2,-,2,-,17
S00124063,23,14,-,2,3,-,3,1,-,-,-,13
S00124064,46,27,-,3,4,2,3,1,2,4,-,37
S00124065,31,24,1,1,3,-,1,1,-,-,-,9
S00124066,19,13,-,2,-,2,-,1,1,-,-,11
S00124067,30,26,-,2,2,-,-,-,-,-,-,4
S00124068,18,14,1,1,-,2,-,-,-,-,-,6
S00124069,49,26,1,2,3,2,10,3,2,-,-,44
S00124070,18,13,2,1,1,-,-,1,-,-,-,6
S00124071,47,32,1,-,5,3,4,-,2,-,-,26
S00124072,43,29,1,1,2,2,2,4,1,1,-,26
S00124073,47,33,1,2,2,3,4,1,1,-,-,24
S00124074,29,16,5,2,2,1,1,1,-,-,1,18
S00124075,47,39,1,1,2,1,1,-,2,-,-,15
S00124076,40,26,1,-,3,2,4,2,1,1,-,26
S00124077,22,14,-,-,2,-,2,3,-,-,1,15
S00124078,55,36,2,4,4,4,2,1,1,1,-,30
S00124079,21,16,3,2,-,-,-,-,-,-,-,5
S00124080,13,10,1,-,1,1,-,-,-,-,-,4
S00124081,14,9,-,1,2,1,-,-,1,-,-,8
S00124082,41,26,3,2,6,3,1,-,-,-,-,19
S00124083,29,20,1,2,2,1,1,1,1,-,-,14
S00124084,18,11,1,1,2,1,1,-,1,-,-,12
S00124085,17,12,2,-,1,-,-,1,1,-,-,8
S00124086,41,29,2,2,1,1,4,2,-,-,-,19
S00124087,47,26,3,1,4,2,4,1,2,4,-,41
S00124088,22,14,-,1,-,1,2,2,1,1,-,17
S00124089,24,14,4,1,3,1,-,-,-,1,-,13
S00124090,24,19,3,1,-,1,-,-,-,-,-,6
S00124091,23,5,-,1,7,2,5,-,1,2,-,32
S00124092,52,31,4,3,8,2,1,2,-,1,-,30
S00124093,22,14,5,2,-,1,-,-,-,-,-,9
S00124094,18,11,2,3,1,1,-,-,-,-,-,8
S00124095,21,9,4,4,1,1,-,1,1,-,-,16
S00124096,21,10,4,2,2,2,-,-,-,1,-,15
S00124097,15,10,2,2,1,-,-,-,-,-,-,5
S00124098,27,10,2,2,2,2,5,-,3,1,-,34
S00124099,37,20,1,2,3,1,4,3,2,1,-,32
S00124100,19,6,-,1,6,1,2,-,1,2,-,22
S00124101,34,24,1,2,5,-,1,1,-,-,-,12
S00124102,54,35,3,2,3,1,4,3,2,1,-,33
S00124103,35,22,6,1,3,1,-,1,1,-,-,19
S00124104,19,13,1,2,2,-,1,-,-,-,-,7
S00124105,30,18,1,-,4,2,2,-,2,1,-,22
S00124106,53,24,2,8,6,7,3,1,2,-,-,44
S00124107,29,18,-,2,1,3,3,1,1,-,-,20
S00124108,19,8,3,-,5,2,-,-,1,-,-,16
S00124109,35,23,1,2,3,2,3,-,-,-,1,19
S00124110,37,15,4,-,12,-,1,5,-,-,-,28
S00124111,33,19,1,2,4,2,1,2,1,1,-,25
S00124112,33,22,-,3,4,2,1,1,-,-,-,15
S00124113,33,22,3,3,1,-,2,2,-,-,-,15
S00124114,41,27,1,-,3,1,4,2,-,2,1,28
S00124115,48,35,1,2,3,1,2,1,2,1,-,24
S00124116,36,24,2,2,-,-,4,2,-,2,-,22
S00124117,59,40,2,1,2,2,8,2,2,-,-,35
S00124118,29,17,-,2,3,1,3,1,2,-,-,21
S00124119,37,25,1,3,1,1,4,1,-,1,-,20
S00124120,35,27,2,-,2,2,2,-,-,-,-,12
S00124121,36,24,-,-,5,2,3,-,1,1,-,21
S00124122,33,21,2,-,3,1,3,-,1,1,1,22
S00124123,37,23,1,1,3,3,3,1,-,1,1,27
S00124124,51,28,4,2,4,5,3,2,1,2,-,39
S00124125,25,21,2,1,-,-,-,-,-,1,-,6
S00124126,33,17,1,3,4,6,-,-,2,-,-,26
S00124127,46,29,3,1,4,5,3,1,-,-,-,26
S00124128,32,18,1,5,4,-,3,-,1,-,-,19
S00124129,41,21,1,2,4,5,2,3,1,2,-,38
S00124130,37,21,6,3,2,1,3,1,-,-,-,21
S00124131,30,18,3,-,2,1,3,2,-,1,-,20
S00124132,38,25,-,2,-,2,6,3,-,-,-,24
S00124133,39,30,2,1,2,1,1,1,-,1,-,14
S00124134,35,24,-,2,3,3,1,1,1,-,-,20
S00124135,38,26,2,2,1,3,2,1,1,-,-,20
S00124136,22,14,4,-,1,2,1,-,-,-,-,11
S00124137,18,16,-,-,2,-,-,-,-,-,-,2
S00124138,32,25,1,1,3,1,1,-,-,-,-,9
S00124139,30,17,3,2,5,1,1,-,-,1,-,17
S00124140,27,13,3,1,3,-,3,2,1,1,-,23
S00124141,22,13,2,1,2,1,1,-,1,-,1,17
S00124142,35,27,-,1,2,2,2,1,-,-,-,13
S00124143,21,11,4,-,1,-,2,2,1,-,-,19
S00124144,36,18,1,4,6,2,2,1,-,2,-,29
S00124145,29,11,5,3,1,5,1,1,1,1,-,29
S00124146,36,19,3,3,3,1,3,1,1,2,-,30
S00124147,46,24,-,4,3,1,4,4,4,2,-,47
S00124148,33,22,-,-,4,1,4,-,1,1,-,20
S00124149,57,25,1,4,5,5,5,3,5,4,-,68
S00124150,47,26,1,1,5,5,6,-,2,1,-,39
S00124151,36,20,-,2,10,-,2,-,1,1,-,22
S00124152,40,24,-,-,5,6,2,-,2,1,-,31
S00124153,33,21,3,1,4,-,1,1,-,2,-,18
S00124154,53,34,-,1,5,-,6,3,2,1,1,36
S00124155,34,15,5,3,3,5,2,1,-,-,-,27
S00124156,37,19,5,3,2,4,2,-,2,-,-,29
S00124157,35,25,1,1,1,-,4,-,3,-,-,21
S00124158,36,21,-,4,4,1,5,1,-,-,-,22
S00124159,44,29,4,3,2,1,4,-,-,1,-,23
S00124160,30,21,2,2,3,1,1,-,-,-,-,11
S00124161,32,17,6,3,2,2,1,1,-,-,-,20
S00124162,45,15,9,3,5,5,3,2,2,1,-,48
S00124163,40,17,7,2,3,6,3,1,-,1,-,35
S00124164,53,33,6,6,3,2,3,-,-,-,-,25
S00124165,12,9,-,2,1,-,-,-,-,-,-,4
S00124166,27,15,2,3,4,1,2,-,-,-,-,15
S00124167,65,25,5,2,9,9,6,4,2,2,1,70
S00124168,44,23,2,-,3,5,4,1,2,2,2,45
S00124169,36,19,2,1,3,5,2,2,2,-,-,30
S00124170,34,13,5,3,2,1,1,1,4,3,1,42
S00124171,38,19,1,3,6,1,4,1,-,3,-,34
S00124172,18,11,-,1,-,-,3,1,2,-,-,17
S00124173,28,16,1,2,5,2,1,-,-,1,-,17
S00124174,37,11,2,-,6,6,4,1,2,4,1,51
S00124175,62,33,5,6,4,3,5,2,2,2,-,51
S00124176,46,21,4,4,1,4,5,2,-,5,-,47
S00124177,40,19,5,5,2,4,2,2,-,1,-,31
S00124178,38,20,3,4,4,2,2,1,-,2,-,29
S00124179,32,21,2,3,2,-,3,-,-,1,-,16
S00124180,28,13,1,4,3,2,5,-,-,-,-,22
S00124181,55,25,2,3,6,5,5,3,5,1,-,57
S00124182,49,21,8,5,3,5,3,1,2,1,-,43
S00124183,32,14,4,2,6,1,2,1,-,2,-,28
S00124184,42,17,1,4,10,4,3,3,-,-,-,35
S00124185,29,22,1,1,2,2,1,-,-,-,-,12
S00124186,11,10,-,-,1,-,-,-,-,-,-,1
S00124187,21,10,5,1,1,-,1,-,2,1,-,22
S00124188,21,9,-,-,3,4,1,-,4,-,-,26
S00124189,32,14,4,2,3,5,2,2,-,-,-,29
S00124190,28,16,3,2,1,1,3,1,1,-,-,20
S00124191,33,13,4,3,3,5,1,1,3,-,-,34
S00124192,23,15,2,6,-,-,-,-,-,-,-,8
S00124193,17,14,1,-,-,-,2,-,-,-,-,5
S00124194,22,16,3,1,1,-,1,-,-,-,-,7
S00124195,46,32,3,3,4,2,1,1,-,-,-,18
S00124196,33,17,4,3,1,3,2,1,2,-,-,26
S00124197,38,20,2,3,7,2,3,1,-,-,-,24
S00124198,48,17,4,7,1,10,5,-,3,-,1,54
S00124199,42,27,-,3,4,2,4,1,1,-,-,24
S00124200,60,36,2,3,3,4,5,4,1,2,-,45
S00124201,45,33,3,2,2,-,3,1,-,1,-,18
S00124202,21,18,-,-,3,-,-,-,-,-,-,3
S00124203,30,20,3,3,4,-,-,-,-,-,-,10
