oa_code,All people aged 16 to 74 in employment,All people: Part-time: 15 hours or less,All people: Part-time: 16 to 30 hours,All people: Full-time: 31 to 48 hours,All people: Full-time: 49 hours or more,All males aged 16 to 74 in employment,All males: Part-time: 15 hours or less,All males: Part-time: 16 to 30 hours,All males: Full-time: 31 to 48 hours,All males: Full-time: 49 hours or more,All females aged 16 to 74 in employment,All females: Part-time: 15 hours or less,All females: Part-time: 16 to 30 hours,All females: Full-time: 31 to 48 hours,All females: Full-time: 49 hours or more
S00089294,92,11,21,45,15,38,2,3,22,11,54,9,18,23,4
S00089295,80,5,13,57,5,43,1,1,37,4,37,4,12,20,1
S00089296,73,6,17,39,11,37,2,3,24,8,36,4,14,15,3
S00089297,35,6,4,21,4,24,3,2,16,3,11,3,2,5,1
S00089298,50,6,9,31,4,28,2,3,20,3,22,4,6,11,1
S00089299,22,2,6,11,3,9,1,-,7,1,13,1,6,4,2
S00089300,52,8,15,22,7,25,2,3,13,7,27,6,12,9,-
S00089301,53,4,14,27,8,29,2,2,17,8,24,2,12,10,-
S00089302,56,7,14,32,3,26,4,1,18,3,30,3,13,14,-
S00089303,89,15,22,47,5,46,5,6,32,3,43,10,16,15,2
S00089304,70,7,23,32,8,36,1,7,21,7,34,6,16,11,1
S00089305,26,-,6,17,3,14,-,-,11,3,12,-,6,6,-
S00089306,48,10,8,26,4,29,4,4,17,4,19,6,4,9,-
S00089307,36,2,6,25,3,20,1,1,15,3,16,1,5,10,-
S00089308,32,1,11,17,3,16,1,1,11,3,16,-,10,6,-
S00089309,78,8,18,46,6,43,3,3,31,6,35,5,15,15,-
S00089310,76,9,21,43,3,38,3,5,27,3,38,6,16,16,-
S00089311,58,3,13,34,8,30,1,5,16,8,28,2,8,18,-
S00089312,90,5,21,50,14,55,-,7,35,13,35,5,14,15,1
S00089313,65,6,11,42,6,37,3,2,27,5,28,3,9,15,1
S00089314,92,2,15,68,7,43,1,5,35,2,49,1,10,33,5
S00089315,54,6,4,34,10,30,1,2,18,9,24,5,2,16,1
S00089316,54,3,9,34,8,25,-,1,18,6,29,3,8,16,2
S00089317,51,4,8,32,7,27,2,-,19,6,24,2,8,13,1
S00089318,55,3,10,38,4,26,1,1,21,3,29,2,9,17,1
S00089319,71,6,15,41,9,33,5,3,18,7,38,1,12,23,2
S00089320,75,5,16,40,14,41,-,2,27,12,34,5,14,13,2
S00089321,34,2,10,17,5,18,-,3,11,4,16,2,7,6,1
S00089322,60,8,8,31,13,32,2,2,17,11,28,6,6,14,2
