oa_code,All households,Owned,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Social rented,Social rented: Rented from council (Local authority),Social rented: Other social rented,Private rented,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of a household member,Private rented: Other,Living rent free
S00131216,59,39,11,28,-,13,13,-,7,7,-,-,-,-
S00131217,43,22,6,16,-,17,17,-,2,2,-,-,-,2
S00131218,54,42,22,20,-,1,1,-,10,10,-,-,-,1
S00131219,56,48,18,30,-,-,-,-,8,7,-,1,-,-
S00131220,39,25,8,17,-,12,12,-,1,-,-,1,-,1
S00131221,66,61,29,32,-,2,-,2,1,1,-,-,-,2
S00131222,29,19,6,13,-,7,4,3,2,2,-,-,-,1
S00131223,73,38,11,21,6,34,5,29,1,1,-,-,-,-
S00131224,84,78,48,30,-,-,-,-,5,4,-,1,-,1
S00131225,59,42,23,19,-,6,5,1,9,8,-,1,-,2
S00131226,39,21,7,14,-,14,4,10,1,1,-,-,-,3
S00131227,64,47,29,18,-,10,-,10,5,5,-,-,-,2
S00131228,80,79,44,35,-,-,-,-,1,1,-,-,-,-
S00131229,39,21,9,12,-,13,12,1,5,5,-,-,-,-
S00131230,47,47,22,25,-,-,-,-,-,-,-,-,-,-
S00131231,32,29,15,14,-,-,-,-,3,3,-,-,-,-
S00131232,34,21,8,13,-,12,12,-,-,-,-,-,-,1
S00131233,44,5,2,3,-,34,34,-,4,3,-,1,-,1
S00131234,71,28,12,16,-,37,37,-,4,4,-,-,-,2
S00131235,66,49,21,28,-,16,16,-,1,1,-,-,-,-
S00131236,49,36,16,20,-,12,12,-,-,-,-,-,-,1
S00131237,38,25,10,15,-,12,12,-,1,1,-,-,-,-
S00131238,55,26,10,16,-,25,24,1,4,3,-,1,-,-
S00131239,55,37,15,22,-,16,16,-,2,1,-,1,-,-
S00131240,50,19,4,15,-,27,22,5,2,2,-,-,-,2
S00131241,71,27,9,18,-,39,39,-,3,2,-,1,-,2
S00131242,49,28,10,18,-,10,10,-,11,11,-,-,-,-
S00131243,53,24,13,11,-,26,12,14,2,2,-,-,-,1
S00131244,57,53,20,33,-,1,1,-,3,3,-,-,-,-
S00131245,24,21,7,14,-,-,-,-,2,2,-,-,-,1
S00131246,51,46,21,25,-,1,1,-,3,3,-,-,-,1
S00131247,63,57,27,30,-,-,-,-,6,6,-,-,-,-
S00131248,49,48,23,25,-,-,-,-,1,1,-,-,-,-
S00131249,60,58,39,19,-,1,1,-,1,1,-,-,-,-
S00131250,53,49,18,31,-,1,1,-,3,1,-,2,-,-
S00131251,32,19,9,10,-,11,11,-,2,2,-,-,-,-
S00131252,43,40,15,25,-,2,2,-,-,-,-,-,-,1
S00131253,42,18,8,10,-,11,11,-,13,12,1,-,-,-
S00131254,41,18,14,4,-,10,10,-,13,13,-,-,-,-
S00131255,41,23,11,12,-,10,10,-,7,7,-,-,-,1
S00131256,45,42,23,19,-,2,2,-,-,-,-,-,-,1
S00131257,46,25,12,13,-,16,15,1,5,4,-,1,-,-
